team_a,team_a_score,team_h,team_h_score
Fulham,0.0,Manchester United,1.0
Liverpool,2.0,Ipswich Town,0.0
Wolverhampton,0.0,Arsenal,2.0
Brighton,3.0,Everton,0.0
Southampton,0.0,Newcastle United,1.0
Bournemouth,1.0,Nottingham Forest,1.0
Aston Villa,2.0,West Ham,1.0
Crystal Palace,1.0,Brentford,2.0
Manchester City,2.0,Chelsea,0.0
Tottenham,1.0,Leicester City,1.0
Manchester United,1.0,Brighton,2.0
West Ham,2.0,Crystal Palace,0.0
Leicester City,1.0,Fulham,2.0
Ipswich Town,1.0,Manchester City,4.0
Nottingham Forest,1.0,Southampton,0.0
Everton,0.0,Tottenham,4.0
Arsenal,2.0,Aston Villa,0.0
Newcastle United,1.0,Bournemouth,1.0
Chelsea,6.0,Wolverhampton,2.0
Brentford,0.0,Liverpool,2.0
Brighton,1.0,Arsenal,1.0
Southampton,1.0,Brentford,3.0
Bournemouth,3.0,Everton,2.0
Fulham,1.0,Ipswich Town,1.0
Aston Villa,2.0,Leicester City,1.0
Wolverhampton,1.0,Nottingham Forest,1.0
Manchester City,3.0,West Ham,1.0
Crystal Palace,1.0,Chelsea,1.0
Tottenham,1.0,Newcastle United,2.0
Liverpool,3.0,Manchester United,0.0
Manchester United,3.0,Southampton,0.0
Ipswich Town,0.0,Brighton,0.0
Leicester City,2.0,Crystal Palace,2.0
West Ham,1.0,Fulham,1.0
Nottingham Forest,1.0,Liverpool,0.0
Brentford,1.0,Manchester City,2.0
Everton,2.0,Aston Villa,3.0
Chelsea,1.0,Bournemouth,0.0
Arsenal,1.0,Tottenham,0.0
Newcastle United,2.0,Wolverhampton,1.0
Chelsea,3.0,West Ham,0.0
Wolverhampton,1.0,Aston Villa,3.0
Newcastle United,1.0,Fulham,3.0
Everton,1.0,Leicester City,1.0
Bournemouth,0.0,Liverpool,3.0
Ipswich Town,1.0,Southampton,1.0
Brentford,1.0,Tottenham,3.0
Manchester United,0.0,Crystal Palace,0.0
Nottingham Forest,2.0,Brighton,2.0
Arsenal,2.0,Manchester City,2.0
Manchester City,1.0,Newcastle United,1.0
Leicester City,2.0,Arsenal,4.0
West Ham,1.0,Brentford,1.0
Brighton,2.0,Chelsea,4.0
Crystal Palace,1.0,Everton,2.0
Fulham,1.0,Nottingham Forest,0.0
Liverpool,2.0,Wolverhampton,1.0
Aston Villa,2.0,Ipswich Town,2.0
Tottenham,3.0,Manchester United,0.0
Southampton,1.0,Bournemouth,3.0
Liverpool,1.0,Crystal Palace,0.0
Southampton,1.0,Arsenal,3.0
Wolverhampton,3.0,Brentford,5.0
Bournemouth,0.0,Leicester City,1.0
Fulham,2.0,Manchester City,3.0
Ipswich Town,1.0,West Ham,4.0
Newcastle United,0.0,Everton,0.0
Manchester United,0.0,Aston Villa,0.0
Nottingham Forest,1.0,Chelsea,1.0
Tottenham,2.0,Brighton,3.0
West Ham,1.0,Tottenham,4.0
Aston Villa,3.0,Fulham,1.0
Brentford,1.0,Manchester United,2.0
Brighton,1.0,Newcastle United,0.0
Leicester City,3.0,Southampton,2.0
Everton,2.0,Ipswich Town,0.0
Arsenal,0.0,Bournemouth,2.0
Manchester City,2.0,Wolverhampton,1.0
Chelsea,1.0,Liverpool,2.0
Crystal Palace,0.0,Nottingham Forest,1.0
Nottingham Forest,3.0,Leicester City,1.0
Bournemouth,1.0,Aston Villa,1.0
Ipswich Town,3.0,Brentford,4.0
Wolverhampton,2.0,Brighton,2.0
Southampton,0.0,Manchester City,1.0
Fulham,1.0,Everton,1.0
Newcastle United,1.0,Chelsea,2.0
Tottenham,0.0,Crystal Palace,1.0
Manchester United,1.0,West Ham,2.0
Liverpool,2.0,Arsenal,2.0
Arsenal,0.0,Newcastle United,1.0
Manchester City,1.0,Bournemouth,2.0
Leicester City,1.0,Ipswich Town,1.0
Brighton,1.0,Liverpool,2.0
West Ham,0.0,Nottingham Forest,3.0
Everton,0.0,Southampton,1.0
Crystal Palace,2.0,Wolverhampton,2.0
Aston Villa,1.0,Tottenham,4.0
Chelsea,1.0,Manchester United,1.0
Brentford,1.0,Fulham,2.0
Bournemouth,2.0,Brentford,3.0
Fulham,2.0,Crystal Palace,0.0
Everton,0.0,West Ham,0.0
Southampton,0.0,Wolverhampton,2.0
Manchester City,1.0,Brighton,2.0
Aston Villa,0.0,Liverpool,2.0
Leicester City,0.0,Manchester United,3.0
Newcastle United,3.0,Nottingham Forest,1.0
Ipswich Town,2.0,Tottenham,1.0
Arsenal,1.0,Chelsea,1.0
Chelsea,2.0,Leicester City,1.0
Nottingham Forest,0.0,Arsenal,3.0
Crystal Palace,2.0,Aston Villa,2.0
Brighton,2.0,Bournemouth,1.0
Brentford,0.0,Everton,0.0
Wolverhampton,4.0,Fulham,1.0
Tottenham,4.0,Manchester City,0.0
Liverpool,3.0,Southampton,2.0
Manchester United,1.0,Ipswich Town,1.0
West Ham,2.0,Newcastle United,0.0
Southampton,,Brighton,
Leicester City,,Brentford,
Newcastle United,,Crystal Palace,
Ipswich Town,,Nottingham Forest,
Bournemouth,,Wolverhampton,
Arsenal,,West Ham,
Aston Villa,,Chelsea,
Everton,,Manchester United,
Fulham,,Tottenham,
Manchester City,,Liverpool,
Crystal Palace,,Ipswich Town,
West Ham,,Leicester City,
Wolverhampton,,Everton,
Nottingham Forest,,Manchester City,
Liverpool,,Newcastle United,
Chelsea,,Southampton,
Manchester United,,Arsenal,
Brentford,,Aston Villa,
Brighton,,Fulham,
Tottenham,,Bournemouth,
Liverpool,,Everton,
Southampton,,Aston Villa,
Newcastle United,,Brentford,
Manchester City,,Crystal Palace,
Nottingham Forest,,Manchester United,
Arsenal,,Fulham,
Bournemouth,,Ipswich Town,
Brighton,,Leicester City,
Chelsea,,Tottenham,
Wolverhampton,,West Ham,
Everton,,Arsenal,
Fulham,,Liverpool,
Leicester City,,Newcastle United,
Ipswich Town,,Wolverhampton,
Aston Villa,,Nottingham Forest,
Crystal Palace,,Brighton,
Manchester United,,Manchester City,
Brentford,,Chelsea,
Tottenham,,Southampton,
West Ham,,Bournemouth,
Manchester City,,Aston Villa,
Nottingham Forest,,Brentford,
Newcastle United,,Ipswich Town,
Brighton,,West Ham,
Arsenal,,Crystal Palace,
Chelsea,,Everton,
Southampton,,Fulham,
Wolverhampton,,Leicester City,
Bournemouth,,Manchester United,
Liverpool,,Tottenham,
Everton,,Manchester City,
Crystal Palace,,Bournemouth,
Fulham,,Chelsea,
Aston Villa,,Newcastle United,
Tottenham,,Nottingham Forest,
West Ham,,Southampton,
Manchester United,,Wolverhampton,
Leicester City,,Liverpool,
Brentford,,Brighton,
Ipswich Town,,Arsenal,
Manchester City,,Leicester City,
Southampton,,Crystal Palace,
Nottingham Forest,,Everton,
Bournemouth,,Fulham,
Wolverhampton,,Tottenham,
Liverpool,,West Ham,
Brighton,,Aston Villa,
Chelsea,,Ipswich Town,
Newcastle United,,Manchester United,
Arsenal,,Brentford,
Newcastle United,,Tottenham,
Leicester City,,Aston Villa,
Everton,,Bournemouth,
Chelsea,,Crystal Palace,
West Ham,,Manchester City,
Brentford,,Southampton,
Arsenal,,Brighton,
Ipswich Town,,Fulham,
Manchester United,,Liverpool,
Nottingham Forest,,Wolverhampton,
Manchester City,,Brentford,
Bournemouth,,Chelsea,
Fulham,,West Ham,
Liverpool,,Nottingham Forest,
Aston Villa,,Everton,
Crystal Palace,,Leicester City,
Wolverhampton,,Newcastle United,
Tottenham,,Arsenal,
Brighton,,Ipswich Town,
Southampton,,Manchester United,
Bournemouth,,Newcastle United,
Liverpool,,Brentford,
Fulham,,Leicester City,
Crystal Palace,,West Ham,
Aston Villa,,Arsenal,
Tottenham,,Everton,
Brighton,,Manchester United,
