team_a,team_a_score,team_h,team_h_score
Arsenal,0,Brentford,2
Leicester City,1,Manchester United,5
Brighton,2,Burnley,1
Crystal Palace,0,Chelsea,3
Southampton,1,Everton,3
Wolverhampton,0,Leeds United,1
Aston Villa,2,Watford,3
Liverpool,3,Norwich,0
West Ham,4,Newcastle United,2
Manchester City,0,Tottenham,1
Burnley,0,Liverpool,2
Newcastle United,0,Aston Villa,2
Brentford,0,Crystal Palace,0
Everton,2,Leicester City,2
Norwich,0,Manchester City,5
Watford,0,Brighton,2
Manchester United,1,Southampton,1
Tottenham,1,Wolverhampton,0
Chelsea,2,Arsenal,0
Leeds United,1,West Ham,4
Arsenal,0,Manchester City,5
Brentford,1,Aston Villa,1
Everton,2,Brighton,0
Southampton,2,Newcastle United,2
Leeds United,2,Norwich,1
Crystal Palace,2,West Ham,2
Chelsea,1,Liverpool,1
Leicester City,1,Burnley,1
Watford,0,Tottenham,1
Manchester United,1,Wolverhampton,0
Tottenham,0,Crystal Palace,3
Norwich,0,Arsenal,1
Brighton,1,Brentford,0
Manchester City,1,Leeds United,0
Newcastle United,1,Manchester United,4
West Ham,0,Southampton,0
Wolverhampton,2,Watford,0
Aston Villa,0,Chelsea,3
Liverpool,3,Leicester City,0
Burnley,1,Everton,3
Leicester City,1,Newcastle United,1
Brentford,2,Wolverhampton,0
Arsenal,1,Burnley,0
Crystal Palace,0,Liverpool,3
Southampton,0,Manchester City,0
Watford,3,Norwich,1
Everton,0,Aston Villa,3
Leeds United,1,Brighton,2
Manchester United,2,West Ham,1
Chelsea,3,Tottenham,0
Manchester City,1,Chelsea,0
Aston Villa,1,Manchester United,0
Norwich,0,Everton,2
West Ham,2,Leicester City,1
Burnley,2,Leeds United,2
Newcastle United,1,Watford,1
Liverpool,3,Brentford,3
Wolverhampton,1,Southampton,0
Tottenham,1,Arsenal,3
Brighton,1,Crystal Palace,1
Everton,1,Manchester United,1
Norwich,0,Burnley,0
Southampton,1,Chelsea,3
Watford,0,Leicester City,1
Newcastle United,1,Wolverhampton,2
Arsenal,0,Brighton,0
Leeds United,2,Crystal Palace,2
Aston Villa,1,Tottenham,2
Brentford,2,West Ham,1
Manchester City,2,Liverpool,2
Liverpool,5,Watford,0
Wolverhampton,3,Aston Villa,2
Manchester United,2,Leeds United,4
Burnley,0,Manchester City,2
Brighton,0,Norwich,0
Leicester City,0,Southampton,1
Chelsea,1,Brentford,0
West Ham,1,Everton,0
Tottenham,3,Newcastle United,2
Crystal Palace,2,Arsenal,2
Aston Villa,1,Arsenal,3
Norwich,0,Chelsea,7
Newcastle United,1,Crystal Palace,1
Watford,5,Everton,2
Wolverhampton,1,Leicester City,1
Burnley,2,Southampton,2
Manchester City,4,Brighton,1
Leeds United,2,Brentford,1
Tottenham,0,West Ham,1
Liverpool,5,Manchester United,0
Arsenal,2,Leeds United,0
Brentford,1,Burnley,3
Brighton,2,Liverpool,2
Crystal Palace,2,Manchester City,0
Chelsea,3,Newcastle United,0
Southampton,1,Watford,0
Manchester United,3,Tottenham,0
Leicester City,2,Norwich,1
West Ham,4,Aston Villa,1
Everton,1,Wolverhampton,2
Aston Villa,0,Southampton,1
Manchester City,2,Manchester United,0
Norwich,2,Brentford,1
Burnley,1,Chelsea,1
Wolverhampton,0,Crystal Palace,2
Newcastle United,1,Brighton,1
Watford,0,Arsenal,1
Tottenham,0,Everton,0
Leeds United,1,Leicester City,1
Liverpool,2,West Ham,3
Chelsea,3,Leeds United,0
Brighton,0,Aston Villa,2
Crystal Palace,3,Burnley,3
Brentford,3,Newcastle United,3
Southampton,1,Norwich,2
Manchester United,1,Watford,4
West Ham,0,Wolverhampton,1
Arsenal,0,Liverpool,4
Everton,0,Manchester City,3
Leicester City,1,Tottenham,2
Newcastle United,0,Arsenal,2
Aston Villa,2,Crystal Palace,1
Southampton,0,Liverpool,4
Wolverhampton,0,Norwich,0
Leicester City,0,Brighton,0
Everton,0,Brentford,1
Watford,2,Leeds United,4
West Ham,1,Manchester City,2
Manchester United,1,Chelsea,1
Norwich,1,Newcastle United,1
Crystal Palace,0,Leicester City,1
Leeds United,2,Southampton,2
Chelsea,2,Watford,1
Brighton,1,West Ham,1
Burnley,0,Wolverhampton,0
Manchester City,2,Aston Villa,1
Liverpool,4,Everton,1
Brentford,0,Tottenham,2
Arsenal,2,Manchester United,3
Chelsea,2,West Ham,3
Burnley,0,Newcastle United,1
Brighton,1,Southampton,1
Liverpool,1,Wolverhampton,0
Manchester City,3,Watford,1
Brentford,2,Leicester City,2
Crystal Palace,0,Manchester United,1
Norwich,0,Tottenham,3
Leeds United,1,Aston Villa,2
Arsenal,1,Everton,2
Watford,1,Brentford,2
Wolverhampton,0,Manchester City,1
Southampton,0,Arsenal,3
Leicester City,2,Chelsea,3
Aston Villa,0,Liverpool,1
Manchester United,1,Norwich,0
West Ham,0,Burnley,0
Newcastle United,0,Leeds United,4
Everton,1,Crystal Palace,3
Aston Villa,2,Norwich,0
Leicester City,0,Manchester City,7
Wolverhampton,1,Brighton,0
Southampton,2,Crystal Palace,2
West Ham,0,Arsenal,2
Everton,1,Chelsea,1
Newcastle United,1,Liverpool,3
Arsenal,4,Leicester City,1
Manchester City,4,Newcastle United,0
Chelsea,0,Wolverhampton,0
Liverpool,2,Tottenham,2
Leeds United,3,Manchester City,6
Arsenal,5,Norwich,0
