team_a,team_a_score,team_h,team_h_score
Manchester City,3,Burnley,0
Nottingham Forest,1,Arsenal,2
West Ham,1,Bournemouth,1
Luton,1,Brighton,4
Fulham,1,Everton,0
Crystal Palace,1,Sheffield,0
Aston Villa,1,Newcastle United,5
Tottenham,2,Brentford,2
Liverpool,1,Chelsea,1
Wolverhampton,0,Manchester United,1
Sheffield,1,Nottingham Forest,2
Brentford,3,Fulham,0
Bournemouth,1,Liverpool,3
Brighton,4,Wolverhampton,1
Manchester United,0,Tottenham,2
Newcastle United,0,Manchester City,1
Everton,0,Aston Villa,4
Chelsea,1,West Ham,3
Arsenal,1,Crystal Palace,0
Luton,0,Chelsea,3
Tottenham,2,Bournemouth,0
Fulham,2,Arsenal,2
Crystal Palace,1,Brentford,1
Wolverhampton,1,Everton,0
Nottingham Forest,2,Manchester United,3
West Ham,3,Brighton,1
Aston Villa,3,Burnley,1
Manchester City,2,Sheffield,1
Liverpool,2,Newcastle United,1
West Ham,2,Luton,1
Everton,2,Sheffield,2
Bournemouth,2,Brentford,2
Tottenham,5,Burnley,2
Nottingham Forest,1,Chelsea,0
Fulham,1,Manchester City,5
Newcastle United,1,Brighton,3
Wolverhampton,2,Crystal Palace,3
Aston Villa,0,Liverpool,3
Manchester United,1,Arsenal,3
Liverpool,3,Wolverhampton,1
Crystal Palace,1,Aston Villa,3
Luton,0,Fulham,1
Brighton,3,Manchester United,1
Sheffield,1,Tottenham,2
Manchester City,3,West Ham,1
Brentford,0,Newcastle United,1
Chelsea,0,Bournemouth,0
Arsenal,1,Everton,0
Burnley,1,Nottingham Forest,1
Fulham,0,Crystal Palace,0
Wolverhampton,1,Luton,1
Nottingham Forest,0,Manchester City,2
Everton,3,Brentford,1
Manchester United,1,Burnley,0
Tottenham,2,Arsenal,2
Bournemouth,1,Brighton,3
Aston Villa,1,Chelsea,0
West Ham,1,Liverpool,3
Newcastle United,8,Sheffield,0
Brighton,1,Aston Villa,6
Arsenal,4,Bournemouth,0
Luton,2,Everton,1
Crystal Palace,1,Manchester United,0
Burnley,0,Newcastle United,2
Sheffield,0,West Ham,2
Manchester City,1,Wolverhampton,2
Liverpool,1,Tottenham,2
Brentford,1,Nottingham Forest,1
Chelsea,2,Fulham,0
Burnley,2,Luton,1
Tottenham,1,Luton,0
Chelsea,4,Burnley,1
Bournemouth,0,Everton,3
Sheffield,1,Fulham,3
Brentford,1,Manchester United,2
Nottingham Forest,0,Crystal Palace,0
Liverpool,2,Brighton,2
Newcastle United,2,West Ham,2
Aston Villa,1,Wolverhampton,1
Manchester City,0,Arsenal,1
Everton,0,Liverpool,2
Wolverhampton,2,Bournemouth,1
Burnley,0,Brentford,3
Brighton,1,Manchester City,2
Crystal Palace,0,Newcastle United,4
Luton,2,Nottingham Forest,2
Arsenal,2,Chelsea,2
Manchester United,2,Sheffield,1
West Ham,1,Aston Villa,4
Fulham,0,Tottenham,2
Tottenham,2,Crystal Palace,1
Brentford,2,Chelsea,0
Sheffield,0,Arsenal,5
Burnley,1,Bournemouth,2
Newcastle United,2,Wolverhampton,2
Everton,1,West Ham,0
Luton,1,Aston Villa,3
Fulham,1,Brighton,1
Nottingham Forest,0,Liverpool,3
Manchester City,3,Manchester United,0
Manchester United,1,Fulham,0
West Ham,2,Brentford,3
Crystal Palace,2,Burnley,0
Brighton,1,Everton,1
Bournemouth,1,Manchester City,6
Wolverhampton,1,Sheffield,2
Arsenal,0,Newcastle United,1
Aston Villa,0,Nottingham Forest,2
Liverpool,1,Luton,1
Chelsea,4,Tottenham,1
Tottenham,1,Wolverhampton,2
Burnley,1,Arsenal,3
Everton,3,Crystal Palace,2
Luton,0,Manchester United,1
Newcastle United,0,Bournemouth,2
Fulham,1,Aston Villa,3
Sheffield,1,Brighton,1
Brentford,0,Liverpool,3
Nottingham Forest,2,West Ham,3
Manchester City,4,Chelsea,4
Liverpool,1,Manchester City,1
West Ham,2,Burnley,1
Crystal Palace,1,Luton,2
Chelsea,1,Newcastle United,4
Brighton,3,Nottingham Forest,2
Bournemouth,3,Sheffield,1
Arsenal,1,Brentford,0
Aston Villa,2,Tottenham,1
Manchester United,3,Everton,0
Wolverhampton,2,Fulham,3
Wolverhampton,1,Arsenal,2
Luton,1,Brentford,3
Sheffield,0,Burnley,5
Everton,1,Nottingham Forest,0
Manchester United,0,Newcastle United,1
Aston Villa,2,Bournemouth,2
Brighton,2,Chelsea,3
Fulham,3,Liverpool,4
Crystal Palace,1,West Ham,1
Tottenham,3,Manchester City,3
Burnley,0,Wolverhampton,1
Arsenal,4,Luton,3
Brentford,1,Brighton,2
Bournemouth,2,Crystal Palace,0
Nottingham Forest,0,Fulham,5
Liverpool,2,Sheffield,0
Manchester City,0,Aston Villa,1
Chelsea,1,Manchester United,2
Newcastle United,0,Everton,3
West Ham,2,Tottenham,1
Liverpool,2,Crystal Palace,1
Burnley,1,Brighton,1
Bournemouth,3,Manchester United,0
Brentford,0,Sheffield,1
Nottingham Forest,1,Wolverhampton,1
Arsenal,0,Aston Villa,1
Chelsea,0,Everton,2
West Ham,0,Fulham,5
Manchester City,2,Luton,1
Newcastle United,1,Tottenham,4
Tottenham,2,Nottingham Forest,0
Sheffield,0,Chelsea,2
Crystal Palace,2,Manchester City,2
Fulham,0,Newcastle United,3
Everton,2,Burnley,0
Brighton,0,Arsenal,2
Aston Villa,2,Brentford,1
Wolverhampton,0,West Ham,3
Manchester United,0,Liverpool,0
Brighton,1,Crystal Palace,1
Sheffield,1,Aston Villa,1
Manchester United,0,West Ham,2
Burnley,2,Fulham,0
Newcastle United,0,Luton,1
Bournemouth,3,Nottingham Forest,2
Everton,1,Tottenham,2
Arsenal,1,Liverpool,1
Chelsea,1,Wolverhampton,2
Nottingham Forest,3,Newcastle United,1
Fulham,0,Bournemouth,3
Luton,3,Sheffield,2
Liverpool,2,Burnley,0
Aston Villa,2,Manchester United,3
Wolverhampton,4,Brentford,1
Crystal Palace,1,Chelsea,2
Manchester City,3,Everton,1
Tottenham,2,Brighton,4
West Ham,2,Arsenal,0
Chelsea,3,Luton,2
Burnley,2,Aston Villa,3
Brentford,1,Crystal Palace,3
Sheffield,0,Manchester City,2
Everton,0,Wolverhampton,3
Manchester United,1,Nottingham Forest,2
Arsenal,1,Fulham,2
Bournemouth,1,Tottenham,3
Newcastle United,2,Liverpool,4
Brighton,0,West Ham,0
Luton,1,Burnley,1
Fulham,0,Chelsea,1
Manchester City,3,Newcastle United,2
Aston Villa,0,Everton,0
Tottenham,2,Manchester United,2
Crystal Palace,0,Arsenal,5
Nottingham Forest,2,Brentford,3
West Ham,2,Sheffield,2
Liverpool,4,Bournemouth,0
Wolverhampton,0,Brighton,0
Arsenal,2,Nottingham Forest,1
Everton,0,Fulham,0
Brighton,0,Luton,4
Sheffield,2,Crystal Palace,3
Newcastle United,3,Aston Villa,1
Burnley,1,Manchester City,3
Brentford,2,Tottenham,3
Chelsea,1,Liverpool,4
Bournemouth,1,West Ham,1
Manchester United,4,Wolverhampton,3
Tottenham,2,Everton,2
Crystal Palace,1,Brighton,4
Fulham,2,Burnley,2
Luton,4,Newcastle United,4
Aston Villa,5,Sheffield,0
Nottingham Forest,1,Bournemouth,1
Wolverhampton,4,Chelsea,2
West Ham,0,Manchester United,3
Liverpool,1,Arsenal,3
Manchester City,3,Brentford,1
Everton,0,Manchester City,2
Bournemouth,1,Fulham,3
Burnley,1,Liverpool,3
Sheffield,3,Luton,1
Brighton,1,Tottenham,2
Brentford,2,Wolverhampton,0
Newcastle United,3,Nottingham Forest,2
Arsenal,6,West Ham,0
Manchester United,2,Aston Villa,1
Chelsea,3,Crystal Palace,1
Liverpool,4,Brentford,1
Arsenal,5,Burnley,0
Aston Villa,2,Fulham,1
Bournemouth,2,Newcastle United,2
West Ham,0,Nottingham Forest,2
Wolverhampton,2,Tottenham,1
Chelsea,1,Manchester City,1
Brighton,5,Sheffield,0
Manchester United,2,Luton,1
Crystal Palace,1,Everton,1
Brentford,0,Manchester City,1
Luton,1,Liverpool,4
Nottingham Forest,2,Aston Villa,4
Everton,1,Brighton,1
Burnley,0,Crystal Palace,3
Fulham,2,Manchester United,1
Manchester City,1,Bournemouth,0
Newcastle United,1,Arsenal,4
Sheffield,0,Wolverhampton,1
Brentford,2,West Ham,4
Chelsea,2,Brentford,2
West Ham,3,Everton,1
Brighton,0,Fulham,3
Wolverhampton,0,Newcastle United,3
Liverpool,1,Nottingham Forest,0
Crystal Palace,1,Tottenham,3
Aston Villa,3,Luton,2
Bournemouth,2,Burnley,0
Manchester United,1,Manchester City,3
Arsenal,6,Sheffield,0
Everton,0,Manchester United,2
Sheffield,2,Bournemouth,2
Luton,1,Crystal Palace,1
Fulham,1,Wolverhampton,2
Brentford,1,Arsenal,2
Tottenham,4,Aston Villa,0
Nottingham Forest,0,Brighton,1
Burnley,2,West Ham,2
Manchester City,1,Liverpool,1
Newcastle United,2,Chelsea,3
Luton,3,Bournemouth,4
Brentford,1,Burnley,2
Nottingham Forest,1,Luton,1
Tottenham,0,Fulham,3
Aston Villa,1,West Ham,1
West Ham,3,Newcastle United,4
Everton,1,Bournemouth,2
Burnley,2,Chelsea,2
Crystal Palace,1,Nottingham Forest,1
Fulham,3,Sheffield,3
Luton,1,Tottenham,2
Wolverhampton,0,Aston Villa,2
Manchester United,1,Brentford,1
Brighton,1,Liverpool,2
Arsenal,0,Manchester City,0
Everton,1,Newcastle United,1
Fulham,1,Nottingham Forest,3
Crystal Palace,0,Bournemouth,1
Wolverhampton,1,Burnley,1
Tottenham,1,West Ham,1
Luton,0,Arsenal,2
Brighton,0,Brentford,0
Aston Villa,1,Manchester City,4
Sheffield,1,Liverpool,3
Manchester United,3,Chelsea,4
Manchester City,4,Crystal Palace,2
Brentford,3,Aston Villa,3
Burnley,0,Everton,1
Newcastle United,1,Fulham,0
Bournemouth,1,Luton,2
West Ham,2,Wolverhampton,1
Arsenal,3,Brighton,0
Liverpool,2,Manchester United,2
Chelsea,2,Sheffield,2
Nottingham Forest,1,Tottenham,3
Tottenham,0,Newcastle United,4
Sheffield,0,Brentford,2
Brighton,1,Burnley,1
Luton,1,Manchester City,5
Wolverhampton,2,Nottingham Forest,2
Manchester United,2,Bournemouth,2
Crystal Palace,1,Liverpool,0
Fulham,2,West Ham,0
Aston Villa,2,Arsenal,0
Everton,0,Chelsea,6
Brentford,5,Luton,1
Burnley,4,Sheffield,1
Arsenal,2,Wolverhampton,0
Nottingham Forest,0,Everton,2
Bournemouth,1,Aston Villa,3
West Ham,2,Crystal Palace,5
Liverpool,3,Fulham,1
Chelsea,0,Arsenal,5
Bournemouth,1,Wolverhampton,0
Newcastle United,0,Crystal Palace,2
Liverpool,0,Everton,2
Sheffield,2,Manchester United,4
Manchester City,4,Brighton,0
Liverpool,2,West Ham,2
Crystal Palace,1,Fulham,1
Burnley,1,Manchester United,1
Sheffield,1,Newcastle United,5
Luton,1,Wolverhampton,2
Brentford,0,Everton,1
Chelsea,2,Aston Villa,2
Brighton,0,Bournemouth,3
Arsenal,3,Tottenham,2
Manchester City,2,Nottingham Forest,0
Tottenham,0,Chelsea,2
Everton,1,Luton,1
Bournemouth,0,Arsenal,3
Fulham,0,Brentford,0
Newcastle United,4,Burnley,1
Nottingham Forest,3,Sheffield,1
Wolverhampton,1,Manchester City,5
Aston Villa,0,Brighton,1
West Ham,0,Chelsea,5
Tottenham,2,Liverpool,4
Manchester United,0,Crystal Palace,4
Manchester City,4,Fulham,0
Brentford,2,Bournemouth,1
Sheffield,0,Everton,1
Brighton,1,Newcastle United,1
Burnley,1,Tottenham,2
Luton,1,West Ham,3
Crystal Palace,3,Wolverhampton,1
Chelsea,3,Nottingham Forest,2
Arsenal,1,Manchester United,0
Liverpool,3,Aston Villa,3
Manchester City,2,Tottenham,0
Chelsea,2,Brighton,1
Newcastle United,2,Manchester United,3
Everton,1,Arsenal,2
Newcastle United,4,Brentford,2
Manchester United,2,Brighton,0
Nottingham Forest,2,Burnley,1
Bournemouth,1,Chelsea,2
Aston Villa,0,Crystal Palace,5
Wolverhampton,0,Liverpool,2
Fulham,4,Luton,2
West Ham,1,Manchester City,3
Tottenham,3,Sheffield,0
