Player Name,Team,Value,Expected Points
James Collins,Manchester United,5.7,6.9
Steve White,Chelsea,7.3,15.5
Adam Collins,Brighton,6.2,8.1
Luke Martin,Wolverhampton,6.0,4.7
Leo Garcia,Manchester City,6.1,7.2
Noah Davis,Liverpool,6.3,11.3
Matt Collins,Fulham,5.3,0.4
Oliver Miller,Nottingham Forest,7.3,13.5
Alex Anderson,Chelsea,7.2,16.3
Nathan White,Everton,5.9,9.3
Josh Anderson,Crystal Palace,4.9,2.4
Tom Baker,Manchester City,5.2,5.8
Noah Brown,Newcastle United,5.5,1.7
Steve Taylor,Southampton,6.5,11.3
James Martinez,Newcastle United,5.3,4.7
Leo Thompson,Crystal Palace,5.7,8.5
Mark Miller,Chelsea,6.2,5.6
James Garcia,Nottingham Forest,7.1,10.1
John Baker,Wolverhampton,5.3,5.6
Oliver Smith,Arsenal,4.7,1.5
Tom Davis,Leicester City,5.3,4.6
Max Scott,Newcastle United,5.8,7.4
David Green,Crystal Palace,6.9,10.5
Alex Green,Ipswich Town,5.9,9.9
Jack Clark,Manchester United,7.8,18.6
Max Martinez,Liverpool,5.3,0.5
Ben Anderson,Crystal Palace,8.6,16.4
Daniel Harris,Wolverhampton,5.6,7.6
Luke Taylor,Aston Villa,6.5,10.4
Tom Scott,Liverpool,6.8,6.3
Max Clark,Fulham,6.7,11.3
Luke Clark,Wolverhampton,5.1,5.9
Alex Young,Newcastle United,5.2,1.4
Tom White,Ipswich Town,5.5,2.0
Luke Bell,Leicester City,6.6,5.0
Tom Jones,Southampton,4.8,5.3
Max Bell,Liverpool,8.4,10.4
James Turner,Brentford,8.6,16.5
Matt Harris,Ipswich Town,5.0,2.9
Luke Turner,Arsenal,6.5,7.0
Daniel Clark,Southampton,6.1,9.3
Liam Harris,Tottenham,6.0,4.6
Ben Young,Arsenal,8.1,19.1
Mark Smith,Ipswich Town,7.3,18.2
Jack Smith,Crystal Palace,6.4,11.9
Chris Johnson,Southampton,5.2,0.7
Noah Clark,Brentford,6.2,5.4
Mark Anderson,Manchester United,8.4,19.0
James Young,Brentford,5.2,3.3
Steve Miller,Ipswich Town,6.8,7.8
Noah Harris,Crystal Palace,8.6,19.8
Charlie Jackson,Bournemouth,6.0,8.6
Nathan Smith,Everton,8.2,17.9
Adam Moore,Everton,4.8,0.8
Luke Collins,Brentford,8.1,14.4
Ben Evans,Manchester United,5.9,6.8
Oliver Baker,Ipswich Town,6.8,9.5
Jacob Johnson,Liverpool,4.9,0.0
Nathan Anderson,Chelsea,5.5,4.5
Ryan Johnson,Aston Villa,4.6,4.4
Jacob Thomas,Newcastle United,5.4,4.5
Jack Scott,Aston Villa,6.3,8.6
Mark Turner,Arsenal,6.5,4.3
Mark Williams,Chelsea,6.4,6.1
Henry Garcia,Manchester United,4.7,2.8
Charlie Johnson,Crystal Palace,9.5,12.3
Michael Bell,Chelsea,5.3,5.5
Mark Clark,Tottenham,5.5,2.7
James Anderson,Crystal Palace,5.2,4.7
Noah Jackson,Arsenal,7.6,12.4
Mark Scott,Liverpool,7.4,18.0
Charlie Wilson,West Ham,4.6,1.7
Matt Smith,Ipswich Town,6.7,6.2
Jacob Martinez,Brighton,7.6,19.9
David Martinez,Arsenal,5.4,1.9
Tom Harris,Fulham,7.4,12.6
Liam Thomas,Crystal Palace,5.4,3.7
Josh Thompson,Arsenal,5.3,1.3
David Martinez,Nottingham Forest,7.3,19.8
Liam Miller,Brentford,9.1,11.0
John Garcia,Manchester City,6.1,11.6
Noah Miller,Brighton,6.4,7.3
Noah Johnson,Aston Villa,5.3,2.6
Ben Williams,Crystal Palace,7.0,5.3
James Taylor,Chelsea,9.6,17.5
Ben Williams,Everton,7.1,18.1
Ben Harris,Aston Villa,6.8,11.5
Jacob Williams,Tottenham,4.8,4.9
Nathan Moore,Brighton,5.3,2.2
David Anderson,Brighton,5.9,9.0
Charlie Martin,Ipswich Town,6.2,4.3
Luke Turner,Newcastle United,7.8,11.1
Oliver Harris,Manchester City,5.5,0.7
Matt Jackson,Bournemouth,7.6,17.9
Jack Johnson,Aston Villa,8.1,16.8
Oliver Martin,Brighton,5.3,3.5
Alex Garcia,Nottingham Forest,7.2,11.2
Daniel Evans,Arsenal,7.2,14.6
Ryan Evans,Newcastle United,4.6,3.5
David Adams,West Ham,6.3,8.1
Mark Smith,Ipswich Town,6.9,6.8
Noah Brown,Nottingham Forest,4.9,2.4
Alex Wilson,Manchester United,6.8,7.2
Luke Davis,West Ham,5.3,5.2
Adam White,Brighton,5.3,1.3
James Garcia,Nottingham Forest,7.1,18.2
Chris Adams,Everton,7.3,17.4
Adam Miller,Everton,4.9,0.7
David Jones,Brentford,7.3,13.2
Michael Anderson,Manchester United,6.5,7.7
Daniel Moore,Manchester United,6.9,6.9
Ethan Young,Newcastle United,7.5,15.5
Max Garcia,Manchester City,6.3,11.6
Nathan Bell,Ipswich Town,8.2,15.4
Alex Garcia,Fulham,8.2,12.6
Michael Jackson,Bournemouth,6.6,4.1
Ryan Green,Southampton,7.9,12.8
Jack Turner,Brighton,4.7,5.1
Oscar Johnson,Arsenal,4.7,0.6
John Brown,Newcastle United,9.6,12.5
James King,Manchester City,5.3,5.4
Josh Martinez,Ipswich Town,5.9,8.8
Max Martinez,Nottingham Forest,5.0,2.4
Alex Jackson,Nottingham Forest,7.8,13.1
Josh Harris,Manchester City,8.3,19.1
Ethan Baker,Bournemouth,6.6,6.8
Sam Green,Southampton,7.3,19.1
Oscar Adams,Manchester United,7.6,12.7
Adam Evans,Tottenham,7.3,10.5
Oscar Johnson,Southampton,5.1,4.5
Ryan White,Bournemouth,7.5,13.1
Ethan Scott,Everton,7.1,17.9
Jacob Clark,Ipswich Town,6.3,8.0
Matt Davis,Chelsea,5.0,2.0
John Jackson,Fulham,6.7,5.6
Steve Harris,Wolverhampton,5.8,11.1
Jack Johnson,Newcastle United,7.4,16.8
Oliver Taylor,Manchester United,5.0,1.0
Leo Davis,Southampton,5.0,0.2
John White,Aston Villa,5.6,7.3
Matt Collins,Ipswich Town,7.9,18.8
