Player Name,Team,Value,Expected Points
Ryan Collins,Manchester United,4.6,0.7
Josh Miller,Bournemouth,5.6,7.2
James Jones,Brighton,5.1,5.8
James Jones,West Ham,6.2,5.3
Liam White,Aston Villa,5.5,1.2
Charlie Collins,Leicester City,5.6,8.4
Tom Clark,Fulham,4.8,3.3
Jacob Baker,Ipswich Town,5.4,3.5
Chris White,Brighton,5.0,3.0
Michael Martin,Newcastle United,7.6,10.6
Jacob Bell,Aston Villa,5.5,2.5
Jack Anderson,Wolverhampton,4.8,4.9
Alex Jones,Newcastle United,9.4,18.6
Matt Martinez,Brighton,4.8,3.7
Oliver Wilson,Chelsea,4.7,3.0
Noah Harris,Everton,5.4,3.6
Charlie Turner,Aston Villa,5.4,2.4
Nathan Brown,Everton,5.7,6.6
Nathan King,Ipswich Town,8.4,19.9
Mark Turner,Manchester City,4.7,4.5
Adam Baker,Chelsea,6.3,9.2
Steve White,Brighton,4.7,3.1
Oscar Harris,Manchester City,5.3,1.2
Jack Scott,Leicester City,5.8,7.7
Noah Miller,Brentford,5.3,0.7
Jack Scott,West Ham,5.0,4.3
Matt Adams,Chelsea,6.4,5.8
Nathan Moore,Leicester City,5.3,3.2
David Collins,Arsenal,5.6,7.4
Luke Martin,Brighton,5.7,10.0
Josh Jones,Newcastle United,6.7,4.6
James Miller,Chelsea,4.9,2.2
Michael Scott,Fulham,9.0,16.6
Oscar Johnson,Fulham,7.5,11.6
Oscar Scott,Aston Villa,5.9,7.2
Noah Collins,Manchester City,6.7,4.1
Max Johnson,Everton,5.1,1.2
David Johnson,Brighton,4.9,2.0
Michael Martin,Brighton,7.5,18.9
Liam Adams,Tottenham,6.4,11.4
Max Scott,Nottingham Forest,7.7,11.5
Adam Taylor,Manchester City,5.1,0.1
Noah Wilson,Brighton,5.0,4.8
Noah Jones,Chelsea,7.3,19.4
Ryan Green,Brighton,7.9,18.2
Michael Miller,Fulham,6.4,7.2
Henry Taylor,Fulham,6.9,7.8
Sam Garcia,Arsenal,5.1,4.1
Josh Thompson,Arsenal,8.0,15.0
Adam Johnson,Fulham,5.1,2.1
Tom Thompson,Newcastle United,6.4,7.6
Michael Thompson,Chelsea,4.9,3.9
Oscar Thomas,Crystal Palace,5.5,3.9
Noah Thompson,Brentford,4.8,0.1
James Johnson,Brighton,7.9,18.3
Leo Brown,Brentford,4.9,0.4
Josh Young,Everton,6.3,10.0
James Harris,Bournemouth,6.0,5.6
Josh Wilson,West Ham,7.8,19.4
James Bell,Aston Villa,6.0,7.5
James Johnson,Wolverhampton,8.2,10.7
Henry Wilson,Fulham,5.6,9.8
David King,Liverpool,7.5,19.1
Sam Harris,Manchester United,6.7,7.0
Chris Garcia,Ipswich Town,5.2,5.1
Noah Taylor,Chelsea,7.2,18.5
Matt Green,Manchester United,5.3,4.6
Oliver Martin,Aston Villa,5.1,1.4
Jack Bell,Southampton,6.3,11.5
Daniel King,Manchester United,6.5,5.6
Tom Williams,Ipswich Town,6.5,6.6
Liam Thompson,Southampton,5.9,11.2
Daniel Harris,Newcastle United,5.4,4.3
Jack Scott,Arsenal,4.9,0.1
Charlie Moore,Manchester City,5.6,7.1
