Player Name,Team,Value,Expected Points
Nathan Williams,Brentford,7.6,17.3
David Turner,Manchester City,5.2,2.7
Leo King,Southampton,5.7,5.3
Chris Brown,Chelsea,8.6,10.8
Oliver Jones,Leicester City,5.1,0.6
Oscar White,Everton,5.9,7.5
Ethan Clark,Nottingham Forest,5.0,4.6
Alex Clark,Wolverhampton,8.4,11.3
Henry Green,Wolverhampton,5.2,3.3
Matt Adams,Manchester United,7.6,19.2
Noah Harris,West Ham,9.1,11.8
Liam Moore,Crystal Palace,5.0,1.2
Ben Clark,Manchester United,5.1,4.9
Nathan Thomas,Everton,6.0,6.2
John Anderson,Leicester City,6.1,4.2
Noah Thompson,Liverpool,4.9,5.5
Adam Wilson,Brentford,9.3,19.7
Oscar Scott,Everton,8.8,13.9
Sam Martinez,Manchester United,8.7,10.6
Adam Young,Leicester City,8.8,16.5
Alex Bell,Tottenham,8.0,10.8
Jacob Harris,Aston Villa,6.1,6.3
Chris Johnson,Wolverhampton,6.1,11.5
Noah Harris,Wolverhampton,9.2,17.5
Liam Scott,Bournemouth,5.6,4.6
Sam Martinez,Crystal Palace,5.8,7.6
Ben Scott,Brentford,7.9,10.9
Ethan Clark,Nottingham Forest,7.7,19.7
Oliver Clark,Everton,6.6,5.3
John Thompson,Everton,5.7,8.5
John Brown,West Ham,6.6,8.5
Tom Green,Wolverhampton,5.8,10.8
Tom Williams,West Ham,6.0,4.9
Ethan Collins,Aston Villa,8.3,10.9
Matt Jackson,Wolverhampton,7.9,15.7
Oliver Scott,Aston Villa,8.5,10.7
Oscar Bell,Fulham,4.5,1.8
Ryan Johnson,Brentford,7.1,17.5
Michael Brown,Liverpool,5.4,5.6
Daniel Martinez,Aston Villa,7.3,18.7
Michael Smith,Leicester City,5.8,5.7
Alex Miller,Bournemouth,5.2,3.3
Mark Turner,West Ham,7.9,17.1
Liam Brown,Ipswich Town,8.8,12.9
Mark Anderson,Ipswich Town,8.3,16.4
Adam Baker,Fulham,9.6,14.9
Chris Martin,Fulham,4.8,1.1
Jack Green,Chelsea,8.6,15.7
Matt Baker,Crystal Palace,7.4,14.6
Luke Collins,Bournemouth,7.6,14.2
Alex White,Wolverhampton,6.4,10.1
Nathan Jackson,Leicester City,4.9,3.6
Jacob Green,Liverpool,5.7,8.6
Michael Johnson,Crystal Palace,7.3,16.2
Steve Thomas,Bournemouth,8.0,19.0
Ethan Evans,Crystal Palace,4.9,2.8
Chris Green,Chelsea,7.4,10.2
Ryan Martin,West Ham,7.8,11.0
Oscar Garcia,Leicester City,5.0,1.7
Leo Moore,Tottenham,8.1,19.2
Liam White,Liverpool,5.9,6.6
Alex Jackson,Wolverhampton,7.2,19.2
Adam Williams,Leicester City,7.5,15.1
Nathan Jackson,Bournemouth,5.2,4.7
Chris Young,Ipswich Town,9.4,16.9
Michael Jackson,West Ham,6.0,10.9
Ben Brown,Nottingham Forest,9.2,17.7
Matt King,Fulham,7.1,15.8
Liam Collins,Crystal Palace,5.8,7.2
Oscar Scott,Leicester City,6.0,5.2
Daniel Harris,Ipswich Town,6.9,5.4
Adam Davis,Liverpool,6.9,6.5
Noah Harris,Fulham,8.9,17.9
Adam Smith,Chelsea,8.4,12.4
Daniel Johnson,Tottenham,9.1,20.0
Ethan Brown,Fulham,4.9,5.8
Noah Martinez,Brentford,8.2,12.6
John Anderson,Leicester City,7.4,17.9
Josh Harris,Liverpool,8.6,13.9
David Garcia,Nottingham Forest,7.0,8.2
Matt Scott,West Ham,5.1,1.7
Oliver Martinez,Leicester City,4.7,1.1
Leo Green,West Ham,6.8,8.2
Luke Evans,Liverpool,5.4,0.3
Matt Evans,Fulham,6.6,4.3
Adam Collins,Crystal Palace,7.8,11.6
Oscar Wilson,Brentford,5.9,6.7
Ryan Davis,Fulham,8.1,18.4
Oscar Clark,Fulham,5.8,8.5
Jacob Jackson,Nottingham Forest,5.1,5.6
Ryan Harris,Crystal Palace,6.3,10.7
Oscar Bell,Crystal Palace,7.1,11.6
Josh Thompson,Wolverhampton,5.9,9.1
